id,duration_min,context,pre_mood,post_mood,delta_mood,pre_focus,post_focus,delta_focus,pre_body_tension,post_body_tension,body_relaxation_gain,earliest_change_min,attention,mechanism,stop,quality
P01,10,cafe,6.5,9.0,2.5,8.0,9.0,1.0,,,,0-2,environment -> body/breath,breathing adjustment + pause + environment,no,post-all score ambiguous; body excluded
P02,10-12,cafe,7.0,9.0,2.0,5.0,8.0,3.0,3.0,2.0,1.0,not specified,plants/environment/people/details,pause + sensory openness + environment,not reported,complete enough
P03,10-12,unspecified,6.0,3.0,-3.0,8.0,8.0,0.0,3.0,3.5,-0.5,early,life reflection/body sadness,pause surfaced loneliness/sadness then partial settling,not reported,negative affect response important
P04,10-12,home/bedroom,6.5,5.0,-1.5,6.5,6.5,0.0,5.5,2.0,3.5,3,room/light/sound/body/posture/memory,pause + reduced sound + posture + body awareness,not reported,long qualitative note
P05,10-12,cafe,4.0,8.0,4.0,5.0,7.5,2.5,6.0,1.0,5.0,2,staff/music/environment/body,no fragmented information + environmental attention,no,post focus estimated midpoint of 7-8
P06,10-12,cafe/bar,6.5,6.5,0.0,4.0,4.0,0.0,1.0,1.0,0.0,3-4,menus/posters/preferences,environmental browsing; time felt fast,no,minimal change case
P07,10-12,cafe/street view,6.0,7.5,1.5,5.5,7.5,2.0,5.0,2.5,2.5,2-3,people/street/work pressure/body,observation reframed pressure; attention returned to self,not reported,rich qualitative note
P08,10-12,indoor/with dog,7.0,7.0,0.0,6.0,7.0,1.0,2.0,2.0,0.0,0-1,task frame/visible objects/dog,"task importance, not pause itself",no,task-demand response
P09,10-12,unspecified,6.0,,,0.0,10.0,10.0,6.0,1.0,5.0,1-2,how to provide useful answer,task demand / usefulness standard,no,post mood missing; focus scale likely idiosyncratic
P10,10-12,outdoor/after work,4.0,5.75,1.75,7.0,6.0,-1.0,7.0,4.5,2.5,3 then 5-6,work -> nearby environment -> distant lights/stars -> self,pause daily task + attentional distance,"yes, first minute phone inertia",post mood midpoint of 5.5-6
